ID,Species,Group,month,spe_month,Leaf_pro,Leaf_level,leaf_group
A039,Hoolock_tianxing,TA,1,Hoolock_tianxing_TA_1,0.879245283,I,high
A040,Hoolock_tianxing,TA,1,Hoolock_tianxing_TA_1,0.879245283,I,high
A087,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
A044,Hoolock_tianxing,TA,1,Hoolock_tianxing_TA_1,0.879245283,I,high
A060,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A061,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A053,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A054,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A058,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A098,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
D025,Hoolock_tianxing,TA,5,Hoolock_tianxing_TA_5,0.544802867,F,middle
A071,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A038,Hoolock_tianxing,TA,1,Hoolock_tianxing_TA_1,0.879245283,I,high
D017,Hoolock_tianxing,TA,5,Hoolock_tianxing_TA_5,0.544802867,F,middle
A052,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A062,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A068,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
E015,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
D019,Hoolock_tianxing,TA,5,Hoolock_tianxing_TA_5,0.544802867,F,middle
D020,Hoolock_tianxing,TA,5,Hoolock_tianxing_TA_5,0.544802867,F,middle
E006,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
A092,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
D018,Hoolock_tianxing,TA,5,Hoolock_tianxing_TA_5,0.544802867,F,middle
A091,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
A094,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
E007,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
A041,Hoolock_tianxing,TA,1,Hoolock_tianxing_TA_1,0.879245283,I,high
A057,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A066,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A067,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A088,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
D061,Hoolock_tianxing,TA,8,Hoolock_tianxing_TA_8,0.490909091,E,middle
E014,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
D060,Hoolock_tianxing,TA,8,Hoolock_tianxing_TA_8,0.490909091,E,middle
A055,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A090,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
A056,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A089,Hoolock_tianxing,TA,3,Hoolock_tianxing_TA_3,0.525,F,middle
E008,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
D047,Hoolock_tianxing,TA,7,Hoolock_tianxing_TA_7,0.604347826,G,high
E012,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
E011,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
A063,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A064,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
A065,Hoolock_tianxing,TA,2,Hoolock_tianxing_TA_2,0.844660194,I,high
D022,Hoolock_tianxing,TA,5,Hoolock_tianxing_TA_5,0.544802867,F,middle
D051,Hoolock_tianxing,TA,7,Hoolock_tianxing_TA_7,0.604347826,G,high
E010,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
D048,Hoolock_tianxing,TA,7,Hoolock_tianxing_TA_7,0.604347826,G,high
D021,Hoolock_tianxing,TA,5,Hoolock_tianxing_TA_5,0.544802867,F,middle
D049,Hoolock_tianxing,TA,7,Hoolock_tianxing_TA_7,0.604347826,G,high
D050,Hoolock_tianxing,TA,7,Hoolock_tianxing_TA_7,0.604347826,G,high
E009,Hoolock_tianxing,TA,6,Hoolock_tianxing_TA_6,0.683229814,G,high
A045,Hoolock_tianxing,TA,1,Hoolock_tianxing_TA_1,0.879245283,I,high
C057,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
C062,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
C063,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X009,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
C058,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
C064,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
C060,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X025,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X015,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
C065,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X033,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X034,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
C061,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X036,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X035,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X003,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X004,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X010,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X014,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X011,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X016,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X002,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X024,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
C068,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
C069,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
C056,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X001,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X022,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X023,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
C055,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X020,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X029,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X019,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X030,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X031,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X038,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X012,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X028,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
C054,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
