ID,Species,month
G21062501G4D16,N. concolor,6
G21062601G4D16,N. concolor,6
G21121502G4B15,N. concolor,12
G21121503G4B12,N. concolor,12
G21120502G4D,N. concolor,12
G22021303G6A,N. concolor,2
G22020802G6M2,N. concolor,2
G22020803G6A,N. concolor,2
G21122901G6M2,N. concolor,12
G21122201G6M2,N. concolor,12
G21121301G5A,N. concolor,12
G21122302G4M2,N. concolor,12
G21121501G4D,N. concolor,12
G22020905G4M2,N. concolor,2
G22020901G4B12,N. concolor,2
G21121504G4B15,N. concolor,12
G21122103G4D18,N. concolor,12
G22020902G4B15,N. concolor,2
G22020903G4C12,N. concolor,2
G21122101G4D15,N. concolor,12
G21122102G4D,N. concolor,12
G21120601G4C12,N. concolor,12
G22020904G4B19,N. concolor,2
G21122003G4B15,N. concolor,12
G21122002G4B12,N. concolor,12
G21120602G4D,N. concolor,12
G21120503G4C12,N. concolor,12
G22021302G4D18,N. concolor,2
G22021303G4B12,N. concolor,2
G22020803G4D15,N. concolor,2
G22020804G4C12,N. concolor,2
G22020802G4M2,N. concolor,2
G22020805G4B,N. concolor,2
G22020402G6M2,N. concolor,2
G21121503G6A13,N. concolor,12
G22021402G6B,N. concolor,2
G21122202G6A,N. concolor,12
G22021102G6M2,N. concolor,2
G22021101G4D,N. concolor,2
G22021102G4C12,N. concolor,2
G22021201G4D,N. concolor,2
G21122301G4M2,N. concolor,12
G22020203G6A,N. concolor,2
G21122701G6M2,N. concolor,12
G21120202G6B,N. concolor,12
G22020301G6B16,N. concolor,2
G22021401G6A19,N. concolor,2
G21122601G6A16,N. concolor,12
G21120304G6B16,N. concolor,12
G21122004G4D,N. concolor,12
G22021301G4D,N. concolor,2
G21121501G6A,N. concolor,12
G22020202G6A19,N. concolor,2
G22021703G6A,N. concolor,2
G21120301G6A19,N. concolor,12
G21061902G4M2,N. concolor,6
G21061904G4B09,N. concolor,6
G21061905G4D,N. concolor,6
G22020806G4B12,N. concolor,2
G22021101G6M2,N. concolor,2
G22020902G6B,N. concolor,2
G21052506G4D,N. concolor,5
G22021103G6B16,N. concolor,2
